Company Name,Industry,Symbol,Series,Yfinanance
CCL Products (I) Ltd.,Fast Moving Consumer Goods,CCL,EQ,CCL.NS
CESC Ltd.,Power,CESC,EQ,CESC.NS
Campus Activewear Ltd.,Consumer Durables,CAMPUS,EQ,CAMPUS.NS
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND,EQ,CASTROLIND.NS
Ceat Ltd.,Automobile and Auto Components,CEATLTD,EQ,CEATLTD.NS
Century Plyboards (India) Ltd.,Consumer Durables,CENTURYPLY,EQ,CENTURYPLY.NS
Century Textile & Industries Ltd.,Forest Materials,CENTURYTEX,EQ,CENTURYTEX.NS
Chalet Hotels Ltd.,Consumer Services,CHALET,EQ,CHALET.NS
Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT,EQ,CHAMBLFERT.NS
Chemplast Sanmar Ltd.,Chemicals,CHEMPLASTS,EQ,CHEMPLASTS.NS
Cipla Ltd.,Healthcare,CIPLA,EQ,CIPLA.NS
Clean Science and Technology Ltd.,Chemicals,CLEAN,EQ,CLEAN.NS
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,COALINDIA.NS
Coforge Ltd.,Information Technology,COFORGE,EQ,COFORGE.NS
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,COLPAL.NS
Container Corporation of India Ltd.,Services,CONCOR,EQ,CONCOR.NS
Coromandel International Ltd.,Chemicals,COROMANDEL,EQ,COROMANDEL.NS
Craftsman Automation Ltd.,Automobile and Auto Components,CRAFTSMAN,EQ,CRAFTSMAN.NS
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON,EQ,CROMPTON.NS
Cyient Ltd.,Information Technology,CYIENT,EQ,CYIENT.NS
DCM Shriram Ltd.,Diversified,DCMSHRIRAM,EQ,DCMSHRIRAM.NS
DLF Ltd.,Realty,DLF,EQ,DLF.NS
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,EQ,DABUR.NS
Dalmia Bharat Ltd.,Construction Materials,DALBHARAT,EQ,DALBHARAT.NS
Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,DEEPAKFERT,EQ,DEEPAKFERT.NS
Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR,EQ,DEEPAKNTR.NS
Delhivery Ltd.,Services,DELHIVERY,EQ,DELHIVERY.NS
Delta Corp Ltd.,Consumer Services,DELTACORP,EQ,DELTACORP.NS
